text,preprocessed_text,sentiment,confidence,favorite_count,created_at,location,username,source_dataset
Selalu keep produk2 boikot yang terafiliasi dengan israel Dan beralih ke produk2 rekomendasi bebas afiliasi Boikot sampe tutup Boikot sampe bangkrut https://t.co/H7Vg5NE0cT,selalu keep produk2 boikot yang terafiliasi dengan israel dan beralih ke produk2 rekomendasi bebas afiliasi boikot sampe tutup boikot sampe bangkrut,positive,0.5199320316314697,0,Wed Nov 13 07:50:37 +0000 2024,Bumi Allaah ,ukhty_onya,uploaded_data
BDS Menggandeng Aplikasi Boycat untuk Permudah Aksi Boikot Produk Pro Israel https://t.co/HzQTeXaS73 https://t.co/P4AVwQcV0t,bds menggandeng aplikasi boycat untuk permudah aksi boikot produk pro israel,neutral,0.9980334639549255,0,Wed Nov 13 07:47:23 +0000 2024,KM50,BirnyeE,uploaded_data
Mengapa Israel Hanya Bisa 'Dikalahkan' dengan Boikot? Ini Alasannya! https://t.co/hWn6RYt77F,mengapa israel hanya bisa dikalahkan dengan boikot ini alasannya,positive,0.9982726573944092,8,Wed Nov 13 07:25:00 +0000 2024,Indonesia,democrazymedia,uploaded_data
tetap teruskan boikot produk dan makanan yang mendukung Amerika &amp; Israel produk UMKM jauh lebih enak dan membantu masyarakat kita #FreePalestine #FreePalestine https://t.co/7Tc3ohcviO,tetap teruskan boikot produk dan makanan yang mendukung amerika amp israel produk umkm jauh lebih enak dan membantu masyarakat kita freepalestine freepalestine,negative,0.9826092720031738,15,Wed Nov 13 07:16:17 +0000 2024,,ramaArsy1,uploaded_data
@p3h2022 @YurisAbrori Muak aja aksi2 boikot begini. Org jg teknologi yg kalian pake brp royalti yg ke Israel? Kalo Sritex itu salah manajemen Bata kalah saing UD Susu itu bukan karena konsumen boikot. Ini sodara sendiri kalian bunuh! Ga mikir yg di PHK gegara idealisme egois klean? otak tu dipake!,muak aja aksi2 boikot begini org jg teknologi yg kalian pake brp royalti yg ke israel kalo sritex itu salah manajemen bata kalah saing ud susu itu bukan karena konsumen boikot ini sodara sendiri kalian bunuh ga mikir yg di phk gegara idealisme egois klean otak tu dipake,positive,0.9994412064552307,0,Wed Nov 13 07:16:16 +0000 2024,,FujitaDenny,uploaded_data
@uyeyeyeee @cherryverse21 @hithereyesyou @tanyarlfes block unblock ngetik panjang block lagi ‍‍‍ udh gitu loud and wrong?? sejak kapan boikot apt kaga rame?? itu awal2 rilis lu kg tau berapa puluh hit tweet soal apt?? ya lu sm aja ttp hype idol yg terafiliasi sm israel?? apa bedanya?? @cherryverse21 https://t.co/wmFwDzTTHG,block unblock ngetik panjang block lagi udh gitu loud and wrong sejak kapan boikot apt kaga rame itu awal2 rilis lu kg tau berapa puluh hit tweet soal apt ya lu sm aja ttp hype idol yg terafiliasi sm israel apa bedanya,positive,0.9987615346908569,0,Wed Nov 13 07:11:06 +0000 2024,,B0REDASF_,uploaded_data
@Marchfoward Aku muskill Apa cara Dia Menghentikn Israel Apa cara Dia Boleh Menghentikn israel..? Boikot Negara negara Yg Support Israel? Putus hubungan Dgn Negara Yg supplies Senjata Kpd Israel? Stop Export minyak ke israel? Bercakap kalau Kosong ...menunjukkn kau Hamba Duit Imperialist,aku muskill apa cara dia menghentikn israel apa cara dia boleh menghentikn israel boikot negara negara yg support israel putus hubungan dgn negara yg supplies senjata kpd israel stop export minyak ke israel bercakap kalau kosong menunjukkn kau hamba duit imperialist,positive,0.9984979629516602,0,Wed Nov 13 06:46:09 +0000 2024,"Sutton in Ashfield, England",KLHC88,uploaded_data
@namazu_sensei Anda membawa kesetaraan boikot produk rokok dengan boikot produk produk Israel padahal mengakui sendiri kalau tujuannya berbeda. Justru adanya perbedaan tujuan inilah yang paling fundamental tidak boleh disederhanakan karna bisa mengaburkan perjuangan yang menjadi,anda membawa kesetaraan boikot produk rokok dengan boikot produk produk israel padahal mengakui sendiri kalau tujuannya berbeda justru adanya perbedaan tujuan inilah yang paling fundamental tidak boleh disederhanakan karna bisa mengaburkan perjuangan yang menjadi,positive,0.9799971580505371,0,Wed Nov 13 06:35:26 +0000 2024,GBLA - République d'Indonésie,AmaniLalaland,uploaded_data
@LoudMinorities @TjungWilly Astaghfirrullah goblok nya dikau @siregar_najeges yg kau boikot sampai tutup itu karyawannya kebanyakan muslim mereka dipecat jadi pengangguran tambah miskin. Lu yakin KFC Indonesia ngasih kontribusi ke Israel? Yg pasti X yg lu pake ngetwit itu ownernya si Elon pendukung Israel. https://t.co/PZD6GKFR32,astaghfirrullah goblok nya dikau yg kau boikot sampai tutup itu karyawannya kebanyakan muslim mereka dipecat jadi pengangguran tambah miskin lu yakin kfc indonesia ngasih kontribusi ke israel yg pasti x yg lu pake ngetwit itu ownernya si elon pendukung israel,positive,0.9992824196815491,0,Wed Nov 13 05:03:36 +0000 2024,"Irvine, CA",Anwarbohebo,uploaded_data
@hfhfgb76 @acevhk @MenDikbud w uda baca n tetep u bego. mcd tu skrg uda masuk list BDS mutual lo jelas gapunya tanggung jawab buka lapangan kerja lah tolol soal phk akibat boikot ini hrsnya tnggng jawab pmrnth bodoamat jg kalo lo msh beli mcd tp lo jelas nyumbang dana ke israel. ngaca dulu sblm nge hate,w uda baca n tetep u bego mcd tu skrg uda masuk list bds mutual lo jelas gapunya tanggung jawab buka lapangan kerja lah tolol soal phk akibat boikot ini hrsnya tnggng jawab pmrnth bodoamat jg kalo lo msh beli mcd tp lo jelas nyumbang dana ke israel ngaca dulu sblm nge hate,positive,0.9992311000823975,1,Tue Nov 12 13:36:47 +0000 2024,,yunjkok,uploaded_data
Hebat ya boikot ga ngaruh apa2 ke israel tp sodara2 lo yg satu negara satu tanah air jd susah lo ga beda dari israel yg lo benci itu. You all are the israels to our own brothers and sisters tolol,hebat ya boikot ga ngaruh apa2 ke israel tp sodara2 lo yg satu negara satu tanah air jd susah lo ga beda dari israel yg lo benci itu you all are the israels to our own brothers and sisters tolol,positive,0.9979249238967896,1,Tue Nov 12 13:36:26 +0000 2024,,timothylp,uploaded_data
 utk melawan penjajah dan itu bukan terorisme. Keluarkan Keluarkan Israel dari PBB dan adili Netanyahu dkk atas kejahatan kemanusiaannya. 4. Putuskan hubungan dagang dan diplomasi dengan Israel boikot semua perusahaan yg mendukung kejahatan Israel atas Palestina.,utk melawan penjajah dan itu bukan terorisme keluarkan keluarkan israel dari pbb dan adili netanyahu dkk atas kejahatan kemanusiaannya 4 putuskan hubungan dagang dan diplomasi dengan israel boikot semua perusahaan yg mendukung kejahatan israel atas palestina,positive,0.9543627500534058,13,Tue Nov 12 13:30:04 +0000 2024,,rofimunawwar,uploaded_data
@YurisAbrori Pokoknya BOIKOT PRODUK ISRAEL,pokoknya boikot produk israel,positive,0.9989156723022461,0,Tue Nov 12 12:27:29 +0000 2024,"Kediri, Jawa Timur",arsadanim,uploaded_data
@GoodNewsJurnal @GLOONAY lah gmn sih katanya karena boikot jadi banyak pengangguran...ya biar bertahan ngk banyak pengangguran elu sebagai pendukung Israel belinya makin banyak lah...sehari 3x dan ajak temen2 yg lain juga biar ngk bangkrut...yg boikot biarin aja dia yg ngk mau jajan elu paksa..,lah gmn sih katanya karena boikot jadi banyak pengangguran ya biar bertahan ngk banyak pengangguran elu sebagai pendukung israel belinya makin banyak lah sehari 3x dan ajak temen2 yg lain juga biar ngk bangkrut yg boikot biarin aja dia yg ngk mau jajan elu paksa,positive,0.9987849593162537,0,Tue Nov 12 12:27:01 +0000 2024,Seluruh indonesia,Risdiyan,uploaded_data
@fullmoonfolks Orang2 ini ngeributin phk akibat boikot produk afiliasi Israel tapi waktu UU Ciptaker disahkan pada belain pemerintah katanya bakalan mencetak banyak lapangan pekerjaan. Pake campaign Indonesia butuh kerja seinget ku dulu ,orang2 ini ngeributin phk akibat boikot produk afiliasi israel tapi waktu uu ciptaker disahkan pada belain pemerintah katanya bakalan mencetak banyak lapangan pekerjaan pake campaign indonesia butuh kerja seinget ku dulu,positive,0.9688785076141357,0,Tue Nov 12 12:19:29 +0000 2024,,andreasicamaru,uploaded_data
waktu tmn nye makan mcd jg anyep2 aje kaga ada berita nya. udh ga heran kalo idol nya sendiri yg ngelakuin ga di boikot krn mungkin mereka dukung israel ‍️,waktu tmn nye makan mcd jg anyep2 aje kaga ada berita nya udh ga heran kalo idol nya sendiri yg ngelakuin ga di boikot krn mungkin mereka dukung israel,positive,0.9693208336830139,1,Tue Nov 12 12:17:11 +0000 2024,,coomoons,uploaded_data
@RefublikAteis ah boikot receh cm boikot perusahaan ayam goreng knp gk berani boikot produk2 utama yahudi/israel spt: -monoteisme -nabi2 &amp; narasi kitab -tradisi yahudi/israel spt sunat wajib halal hijab? mau ngeles apa lagi coba?,ah boikot receh cm boikot perusahaan ayam goreng knp gk berani boikot produk2 utama yahudi israel spt monoteisme nabi2 amp narasi kitab tradisi yahudi israel spt sunat wajib halal hijab mau ngeles apa lagi coba,positive,0.9989058971405029,1,Tue Nov 12 11:44:53 +0000 2024,,mx00711,uploaded_data
@muhammadleo68 @ReezMuhammad @YandraD31 @Zahra_Humairah_ @Dirmans13 @NenkMonica @Dzoel_999 @baronko_chole @emprosay @NinzExe07 @ownerradikal1 @vanc1Bozz @taufik_q @CutSarina5 @Deslini2 @ok_samsul @RayiAlfian @MariaAlcaff Boikot dibilang nambah pengangguran giliran ada orang Indonesia bikin produk saingan FCK McDajjal dibilang Jualan Agama Ya Sudah kita BLOCK OUT saja Akun2 Zionis Pesek. jika kita bisa kompak utk aksi BLOCK OUT Akun2 pro Israel Dampaknya bakal lebih dahsyat daripada Boikot,boikot dibilang nambah pengangguran giliran ada orang indonesia bikin produk saingan fck mcdajjal dibilang jualan agama ya sudah kita block out saja akun2 zionis pesek jika kita bisa kompak utk aksi block out akun2 pro israel dampaknya bakal lebih dahsyat daripada boikot,positive,0.9991118311882019,4,Tue Nov 12 11:28:40 +0000 2024,"Sabah, East Malaysia",KaixaVtuber,uploaded_data
@Deslini2 @ReezMuhammad @YandraD31 @Zahra_Humairah_ @Dirmans13 @NenkMonica @Dzoel_999 @baronko_chole @emprosay @NinzExe07 @ownerradikal1 @vanc1Bozz @taufik_q @CutSarina5 @ok_samsul @RayiAlfian @MariaAlcaff Abaikan omongan Zionis Pesek Boikot produk Israel dibilang nambah pengangguran tapi pas TKA China ilegal masuk malah menghina Rakyat Indonesia pengangguran. Mereka cuma takut bangkrut atau Pemasukan Amunisi IsraHELL utk membantai warga tak bersalah semakin menipis bahkan Habis,abaikan omongan zionis pesek boikot produk israel dibilang nambah pengangguran tapi pas tka china ilegal masuk malah menghina rakyat indonesia pengangguran mereka cuma takut bangkrut atau pemasukan amunisi israhell utk membantai warga tak bersalah semakin menipis bahkan habis,positive,0.9995591044425964,3,Tue Nov 12 11:21:41 +0000 2024,"Sabah, East Malaysia",KaixaVtuber,uploaded_data
aksi boikot sukses mem-phk 2274 karyawannn lanjutkan boicrot #JulidFiSabilillah Ukuran kesuksesan boikot itu kan perusahaan merugi... jangankan israel yg merugi.. coba tanya gelael dan salim... apakah karena bocrot jadi miskin? tak,aksi boikot sukses mem phk 2274 karyawannn lanjutkan boicrot julidfisabilillah ukuran kesuksesan boikot itu kan perusahaan merugi jangankan israel yg merugi coba tanya gelael dan salim apakah karena bocrot jadi miskin tak,positive,0.9992597699165344,4,Tue Nov 12 10:50:10 +0000 2024,jakarta,RefublikAteis,uploaded_data
@siregar_najeges Nggak ada pengaruh ke Israel dia kira Israel gak punya Backingan Satu nya cara Stop Israel ya Kalahin Amerika mau boikot sampe Kiamat kalo US Masih jadi top Lead Global ya sia-sia malah orang kita sendiri yang rugi,nggak ada pengaruh ke israel dia kira israel gak punya backingan satu nya cara stop israel ya kalahin amerika mau boikot sampe kiamat kalo us masih jadi top lead global ya sia sia malah orang kita sendiri yang rugi,positive,0.9991004467010498,0,Tue Nov 12 10:42:32 +0000 2024,,ba26314,uploaded_data
@AhlulQohwah Kalopun KFC Dll Bantuin Israel juga gak pengaruh banyak sih sebenernya ke ISRAEL Karna backingan mereka sendiri Pemerintah Amerika Aslinya Boikot macam ini gak ada guna da nggak pengaruh apapun Kecuali Semua Negara serentak cuman kalo kek gini kasian yang di PHK,kalopun kfc dll bantuin israel juga gak pengaruh banyak sih sebenernya ke israel karna backingan mereka sendiri pemerintah amerika aslinya boikot macam ini gak ada guna da nggak pengaruh apapun kecuali semua negara serentak cuman kalo kek gini kasian yang di phk,positive,0.999417781829834,0,Tue Nov 12 10:41:03 +0000 2024,,ba26314,uploaded_data
@matchavialattea @dirubble @HYBEOFFICIALtwt @BELIFTLAB Johnny Goldstein produser lagu asal israel dan pernah terlibat jadi IOF atau tentara israel ikut serta dalam pembuatan album comeback enhypen kali ini. Jadi orang2 terutama enjin nyeruin aksi boikot sbg tekanan ke hybe biar mereka lepas kontrak sama pihak2 zionis,johnny goldstein produser lagu asal israel dan pernah terlibat jadi iof atau tentara israel ikut serta dalam pembuatan album comeback enhypen kali ini jadi orang2 terutama enjin nyeruin aksi boikot sbg tekanan ke hybe biar mereka lepas kontrak sama pihak2 zionis,positive,0.8344113826751709,0,Tue Nov 12 10:03:57 +0000 2024,,matowoah,uploaded_data
@JohnAarivEd Manusia2 munapiikk.. teriak2 boikot produk israel... eeewhh..tiap hari mulai mata melek sampe merem mainannya buatan kapiir yahuuddsiii.. kan gobloook yaak..??? ,manusia2 munapiikk teriak2 boikot produk israel eeewhh tiap hari mulai mata melek sampe merem mainannya buatan kapiir yahuuddsiii kan gobloook yaak,positive,0.9987107515335083,0,Tue Nov 12 08:56:53 +0000 2024,Planet pluto RT 21 RW 09.,ER_YEEE90,uploaded_data
@Boediantar4 jangankan nelawan malah gak ada greget sama sekali baik sikap atau ancaman. hanya omon-omon aja. disuruh boikot produk yg terafiliasi dengan israel mah ogah-ogahan gak ada respek sama sekali,jangankan nelawan malah gak ada greget sama sekali baik sikap atau ancaman hanya omon omon aja disuruh boikot produk yg terafiliasi dengan israel mah ogah ogahan gak ada respek sama sekali,positive,0.999457061290741,0,Tue Nov 12 08:28:10 +0000 2024,,o_sanit,uploaded_data
@fullmoonfolks Faktanya KFC ga masuk list boikot afiliasi israel,faktanya kfc ga masuk list boikot afiliasi israel,positive,0.9365308284759521,0,Tue Nov 12 07:40:29 +0000 2024,,MarjukiFoto,uploaded_data
@jeeysdump Jaemin jangan knetz mulu yg dikasih sekali kali dreamzen indo yang dikasih expired dijalan (kelamaan dijalan) juga aku tetep mau ,jaemin jangan knetz mulu yg dikasih sekali kali dreamzen indo yang dikasih expired dijalan kelamaan dijalan juga aku tetep mau,positive,0.999194324016571,5,Tue Nov 12 07:36:56 +0000 2024,,theycallme_gaez,uploaded_data
@JohnAarivEd Gpp drpd kehilangan akal kyk lu lu pade. Yg di PHK jg ada yg setuju kok dgn boikot anti israel. Lu tau ap? Cuman manfaatin kaum yg di PHK buat cari cuan engagement doanc Cuiiihhh...,gpp drpd kehilangan akal kyk lu lu pade yg di phk jg ada yg setuju kok dgn boikot anti israel lu tau ap cuman manfaatin kaum yg di phk buat cari cuan engagement doanc cuiiihhh,positive,0.9971753358840942,0,Tue Nov 12 07:34:54 +0000 2024,,SIB3CK,uploaded_data
@fullshan_ KALO LU NGANTUK TUH TIDUR YE BGST LU KAN BISA LIHAT NTARAN COK! EMANG INI HARUS IKUT KEMAUAN LU INI ARTISNYA MEREKA APA LU KNETZ? GEDEG BGT GW,kalo lu ngantuk tuh tidur ye bgst lu kan bisa lihat ntaran cok emang ini harus ikut kemauan lu ini artisnya mereka apa lu knetz gedeg bgt gw,positive,0.9992775321006775,0,Tue Nov 12 07:31:10 +0000 2024,,theycallme_gaez,uploaded_data
@legalpvnk @YurisAbrori Boikot malah nggak ngefek Israel masih bar2 tuh karena didukung barat &amp; sekutunya bahkan Amerika saja mengorbankan uang pajak rakyat untuk membantu Israel Israel punya opsi pendanaan lain yang ngefek malah serangan iran &amp; hezbollah yang membuat anggaran mereka membengkak.,boikot malah nggak ngefek israel masih bar2 tuh karena didukung barat amp sekutunya bahkan amerika saja mengorbankan uang pajak rakyat untuk membantu israel israel punya opsi pendanaan lain yang ngefek malah serangan iran amp hezbollah yang membuat anggaran mereka membengkak,positive,0.9990767240524292,2,Tue Nov 12 07:01:48 +0000 2024,,PandaMerahku,uploaded_data
@jicunggg NGAMUK AJA JEN GULUNG AJA INI BUMI GPP NGAMUK TUH MANUSIAWI YG GA MANUSIAWI KAN KNETZ ,ngamuk aja jen gulung aja ini bumi gpp ngamuk tuh manusiawi yg ga manusiawi kan knetz,positive,0.9986624717712402,0,Tue Nov 12 06:39:37 +0000 2024,,theycallme_gaez,uploaded_data
@JohnAarivEd Boikot produk Amerika dan sekutu soalnya mereka mendanai Israel dimedan perang... tapi selama ini saya belum dengar/baca boikot google... Kenapa...?,boikot produk amerika dan sekutu soalnya mereka mendanai israel dimedan perang tapi selama ini saya belum dengar baca boikot google kenapa,positive,0.997688889503479,0,Tue Nov 12 06:37:40 +0000 2024,,KamilSyahr13123,uploaded_data
@Bang_Toyib02 @GoodNewsJurnal Walah.... kagak tau malu . Mau boikot produk israel.... itu hasilnya kaummu tu yg kena PHK .. Tapi kalo pake hp yg banyak komponen dari yahudi ga malu ya... https://t.co/4bF2TFdAA6,walah kagak tau malu mau boikot produk israel itu hasilnya kaummu tu yg kena phk tapi kalo pake hp yg banyak komponen dari yahudi ga malu ya,positive,0.9993557333946228,0,Tue Nov 12 06:33:43 +0000 2024,"Semampir, Indonesia",Tekor79634326,uploaded_data
@hidayatev @YustineMelinda @Rifqieffendiask @tilehopper Israel kena boikot gegara mecat salah satu staff yg naikin suara soal BLM + Gaza gak sih??? nah ini kena getah krn CEOnya emng tolol,israel kena boikot gegara mecat salah satu staff yg naikin suara soal blm gaza gak sih nah ini kena getah krn ceonya emng tolol,positive,0.9992809891700745,1,Tue Nov 12 06:02:03 +0000 2024,🚂🌌,True_lyMe,uploaded_data
akun-akun centang biru ngapain sih ngomongin boikot? lu bela centang biru itu juga nyumbang rudal buat Israel,akun akun centang biru ngapain sih ngomongin boikot lu bela centang biru itu juga nyumbang rudal buat israel,positive,0.9993239641189575,1,Tue Nov 12 05:45:29 +0000 2024,"aku masih di sini, untuk setia",hujanyangturun_,uploaded_data
@Kikokalosoree @AhlulQohwah yg jadi pertanyaan itu apa bener KFC itu perusahaan milik israel trs apa dampak nyatanya ke israel setelah boikot KFC..kalo gak ngefek apa2 dan justru ngefeknya ke masarakat indo..itu namanya boikot konyol...alias bunuh diri...yg ada ketawain oleh pihak israel...,yg jadi pertanyaan itu apa bener kfc itu perusahaan milik israel trs apa dampak nyatanya ke israel setelah boikot kfc kalo gak ngefek apa2 dan justru ngefeknya ke masarakat indo itu namanya boikot konyol alias bunuh diri yg ada ketawain oleh pihak israel,positive,0.99934321641922,1,Tue Nov 12 05:28:18 +0000 2024,,DewiPutriku06,uploaded_data
@GoodNewsJurnal Boikot itu sprti pegang senjata di kedua tangan. Satu untuk israel satu utk saudara sendiri. Masalahnya yg saudara sendiri dikasih rudal tp yg utk israel cm pistol dan belum tentu kena. Kecil efeknya ke israel besar ke saudara sendiri. Silahkan drone,boikot itu sprti pegang senjata di kedua tangan satu untuk israel satu utk saudara sendiri masalahnya yg saudara sendiri dikasih rudal tp yg utk israel cm pistol dan belum tentu kena kecil efeknya ke israel besar ke saudara sendiri silahkan drone,positive,0.9987497329711914,0,Tue Nov 12 04:50:26 +0000 2024,,kutukupred97,uploaded_data
@siregar_najeges Dan korbannya banyak muslim juga pola pikir boikat boikot ini pola pikir bodoh sbb ga mikirin mereka yg kerja juga kena dampak buat Israel? Ga ada ngaruhnya,dan korbannya banyak muslim juga pola pikir boikat boikot ini pola pikir bodoh sbb ga mikirin mereka yg kerja juga kena dampak buat israel ga ada ngaruhnya,positive,0.9994080066680908,2,Tue Nov 12 04:42:53 +0000 2024,פלנט אייר,andesshhh,uploaded_data
@hhat057 @maspay19 Makanya patokan ku kalo memang boikot ya cuma BDS lebih terarah dan gak ribet + beneran ada bukti penyaluran dana/donasi ke israel.,makanya patokan ku kalo memang boikot ya cuma bds lebih terarah dan gak ribet beneran ada bukti penyaluran dana donasi ke israel,negative,0.977473258972168,1,Tue Nov 12 03:55:27 +0000 2024,"East Java, Indonesia",YayanIsHere,uploaded_data
@AamiraKeinarra @BayuAngora harusnya salahin kebijakan KFC yg dukung israel ..harusnya mereka tau resiko efek berantai yg akan terjadi boikot pd produk mereka...yg boikot cuma solidaritas benci israel ..suruh tanggung jawab tuh KFC PUSAT,harusnya salahin kebijakan kfc yg dukung israel harusnya mereka tau resiko efek berantai yg akan terjadi boikot pd produk mereka yg boikot cuma solidaritas benci israel suruh tanggung jawab tuh kfc pusat,positive,0.99895179271698,0,Tue Nov 12 03:37:47 +0000 2024,Jakarta Capital Region,Rendiputra05,uploaded_data
@BayuAngora gk usah preming ke yg boikot harus nya KFC tau akan ada efek berantai tentang hal ini ...demo dong karyawan nya ke KFC pusat knpa harus dukung2 israel,gk usah preming ke yg boikot harus nya kfc tau akan ada efek berantai tentang hal ini demo dong karyawan nya ke kfc pusat knpa harus dukung2 israel,positive,0.997752845287323,0,Tue Nov 12 03:34:05 +0000 2024,Jakarta Capital Region,Rendiputra05,uploaded_data
@ProfOnline_id Boikot sana2 boikot sini gk ada efect malah cuma menambahn derita di Erop boikot gk mempan mereka mulai cari orang2 Yahudi layaknya holocaust era 40an .itupun tdk akan menghentikan malah israel senang orang2 Yahudi akan merasa aman pulang ke Israel semua.,boikot sana2 boikot sini gk ada efect malah cuma menambahn derita di erop boikot gk mempan mereka mulai cari orang2 yahudi layaknya holocaust era 40an itupun tdk akan menghentikan malah israel senang orang2 yahudi akan merasa aman pulang ke israel semua,positive,0.9991119503974915,2,Tue Nov 12 03:04:10 +0000 2024,"Minahasa, Sulawesi Utara",semangalitow,uploaded_data
@Oxwinav @adaisudimana @siregar_najeges Perusahaan lain ada yang bangkrut karna bagian dari dinamika pasar yang alami seperti persaingan usaha atau kalah dalam inovasi Sedangkan perusahaan perusahaan yang mau bangkrut karna ulah boikot kontraproduktif justru diharapkan bangkrut karna tujuannya menekan Israel Tapi,perusahaan lain ada yang bangkrut karna bagian dari dinamika pasar yang alami seperti persaingan usaha atau kalah dalam inovasi sedangkan perusahaan perusahaan yang mau bangkrut karna ulah boikot kontraproduktif justru diharapkan bangkrut karna tujuannya menekan israel tapi,positive,0.8923952579498291,1,Tue Nov 12 02:42:41 +0000 2024,GBLA - République d'Indonésie,AmaniLalaland,uploaded_data
